ID,Username,Title,Category,View Count,Share Count,Exit Count,Average Rating
1164,kinha,How to identify a good women… 💎 - Credits_ JustPearlyThings - #traditionalwomen #goodwomen #traditionalvalues #relationshipadviceformen,"{'id': 2, 'name': 'Vible', 'count': 451, 'description': 'All the best vibes!', 'image_url': 'https://assets.socialverseapp.com/categories/a6861bd94e900fe7b6a88b72fd1975ea'}",2,0,0,0
1163,kinha,MORE… #ye #kanyewest #kobebryant #motivation,"{'id': 2, 'name': 'Vible', 'count': 451, 'description': 'All the best vibes!', 'image_url': 'https://assets.socialverseapp.com/categories/a6861bd94e900fe7b6a88b72fd1975ea'}",2,0,0,0
1162,kinha,Be a minimalist versus a maximalist. Live to the point. Say NO to most activities so you can build the rest of your life around your gorgeous priorities. #leadership #productivity #service #productive #productivity #minimalist,"{'id': 2, 'name': 'Vible', 'count': 451, 'description': 'All the best vibes!', 'image_url': 'https://assets.socialverseapp.com/categories/a6861bd94e900fe7b6a88b72fd1975ea'}",1,0,0,0
1161,kinha,"In a world of trivial distraction, battleproof your focus. Work in quietude, on a big problem that will revolutionize the lives of those you serve.   #leadership #productivity #service #focus #tactics #top5","{'id': 2, 'name': 'Vible', 'count': 451, 'description': 'All the best vibes!', 'image_url': 'https://assets.socialverseapp.com/categories/a6861bd94e900fe7b6a88b72fd1975ea'}",2,0,0,0
1160,kinha,“Most men live lives…” 💔 - Joe Rogan - #manquote #quoteformen #adviceforman #menlife #realtalks #joerogan,"{'id': 2, 'name': 'Vible', 'count': 451, 'description': 'All the best vibes!', 'image_url': 'https://assets.socialverseapp.com/categories/a6861bd94e900fe7b6a88b72fd1975ea'}",1,0,0,0
1159,kinha,Its how you lead your life… #traviskelce #taylorswift #motivation #SuperBowl #inspiration,"{'id': 2, 'name': 'Vible', 'count': 451, 'description': 'All the best vibes!', 'image_url': 'https://assets.socialverseapp.com/categories/a6861bd94e900fe7b6a88b72fd1975ea'}",0,0,0,0
1158,kinha,Seek truth and adventure awaits! #dailywisdom #inspiration #jordanpeterson,"{'id': 2, 'name': 'Vible', 'count': 451, 'description': 'All the best vibes!', 'image_url': 'https://assets.socialverseapp.com/categories/a6861bd94e900fe7b6a88b72fd1975ea'}",0,0,0,0




##### only 7 ids data are left here to show how the orignal files look to keep company's orignal dataset secure #######